query,street1,street2,city,lat,long,formatted_address
"Yukon & Sw Marine, Vancouver, BC",Yukon,Sw Marine,Vancouver,49.210961,-123.1153397,"SW Marine Dr & Yukon St, Vancouver, BC V5X 2R9, Canada"
"Inverness & Kingsway, Vancouver, BC",Inverness,Kingsway,Vancouver,49.2519964,-123.079882,"Kingsway & Inverness St, Vancouver, BC V5V, Canada"
"Ubc Loop & Ubc Loop, Vancouver, BC",Ubc Loop,Ubc Loop,Vancouver,49.2675511,-123.2481004,"UBC Exchange, Greater Vancouver A, University Endowment Lands, BC V6T 2B9, Canada"
"Between 29 Ave & 28 Ave & Oak, Vancouver, BC",Between 29 Ave & 28 Ave,Oak,Vancouver,49.2442071,-123.0459788,"29th Avenue, 2790 E 29th Ave, Vancouver, BC V5R 1V8, Canada"
"Kincaid & Smith, Burnaby, BC",Kincaid,Smith,Burnaby,49.2488197,-123.0198286,"Kincaid St & Smith Ave, Burnaby, BC V5G 2T8, Canada"
"20 St & 7 Ave, New Westminster, BC",20 St,7 Ave,New Westminster,49.2015763,-122.9467546,"20th St & 7th Ave, New Westminster, BC V3M 4W4, Canada"
"6 Ave & 8 St, New Westminster, BC",6 Ave,8 St,New Westminster,49.211176,-122.9240099,"6th Ave & 8th St, New Westminster, BC V3M 3S2, Canada"
"13 St & Lonsdale, North Vancouver, BC",13 St,Lonsdale,North Vancouver,49.3200291,-123.0723931,"Lonsdale Ave & E 13th St, North Vancouver, BC V7M 2H7, Canada"
"Skeena & Hastings, Vancouver, BC",Skeena,Hastings,Vancouver,49.2811182,-123.0283059,"E Hastings St & Skeena St, Vancouver, BC V5K 2A7, Canada"
"Brooksbank & Cotton, North Vancouver, BC",Brooksbank,Cotton,North Vancouver,49.3072558,-123.0405169,"Brooksbank Ave & Cotton Rd, North Vancouver, BC V7J 2B9, Canada"
"Cambie & Broadway, Vancouver, BC",Cambie,Broadway,Vancouver,49.2632793,-123.1149908,"Cambie St & W Broadway, Vancouver, BC V5Z 4M5, Canada"
"Cambie & Broadway, Vancouver, BC",Cambie,Broadway,Vancouver,49.2632793,-123.1149908,"Cambie St & W Broadway, Vancouver, BC V5Z 4M5, Canada"
"49 Ave & Oak, Vancouver, BC",49 Ave,Oak,Vancouver,49.2265978,-123.1284065,"W 49th Ave & Oak St, Vancouver, BC V6M 2P7, Canada"
"41 Ave & Oak, Vancouver, BC",41 Ave,Oak,Vancouver,49.2340057,-123.1279867,"W 41st Ave & Oak St, Vancouver, BC V5Z 2N5, Canada"
"Granville & Pender, Vancouver, BC",Granville,Pender,Vancouver,49.2846675,-123.114861,"Granville St & W Pender St, Vancouver, BC V6C 1X6, Canada"
"Fir St & E 2Nd Ave, Vancouver, BC",Fir St,E 2Nd Ave,Vancouver,49.2697098,-123.1407911,"W 2nd Ave & Fir St, Vancouver, BC V6J 3B1, Canada"
"King Edward & Cambie, Vancouver, BC",King Edward,Cambie,Vancouver,49.2489409,-123.1155531,"Cambie St & W King Edward Ave, Vancouver, BC V5Z, Canada"
"Maple & Broadway, Vancouver, BC",Maple,Broadway,Vancouver,49.2637442,-123.150531,"W Broadway & Maple St, Vancouver, BC V6J 1Z2, Canada"
"Nelson & Kingsway, Burnaby, BC",Nelson,Kingsway,Burnaby,49.2266971,-122.9943283,"Nelson Ave & Kingsway, Burnaby, BC V5H 4P2, Canada"
"Marmont & Brunette, Coquitlam, BC",Marmont,Brunette,Coquitlam,49.2387084,-122.8622701,"Brunette Ave & Marmont St, Coquitlam, BC V3K, Canada"
"Yukon & Sw Marine, Vancouver, BC",Yukon,Sw Marine,Vancouver,49.210961,-123.1153397,"SW Marine Dr & Yukon St, Vancouver, BC V5X 2R9, Canada"
"Waterloo St & W Broadway, Vancouver, BC",Waterloo St,W Broadway,Vancouver,49.2642758,-123.1798446,"W Broadway & Waterloo St, Vancouver, BC V6R 3H4, Canada"
"Waterloo St & W Broadway, Vancouver, BC",Waterloo St,W Broadway,Vancouver,49.2642758,-123.1798446,"W Broadway & Waterloo St, Vancouver, BC V6R 3H4, Canada"
"28 Ave & Dunbar, Vancouver, BC",28 Ave,Dunbar,Vancouver,49.247117,-123.185222,"Dunbar St & W 28th Ave, Vancouver, BC V6S 2G5, Canada"
"Wolfe & 16 Ave, Vancouver, BC",Wolfe,16 Ave,Vancouver,49.2571127,-123.131836,"Wolfe Ave & W 16th Ave, Vancouver, BC V6H 1W1, Canada"
"60 Ave & Granville, Vancouver, BC",60 Ave,Granville,Vancouver,49.216777,-123.140242,"Granville St & W 60th Ave, Vancouver, BC V6P 4Y7, Canada"
"Wesbrook Mall & Ubc Bus Loop, Vancouver, BC",Wesbrook Mall,Ubc Bus Loop,Vancouver,49.2676367,-123.2466064,"Wesbrook Mall & UBC Bus Loop, University Endowment Lands, BC V6T, Canada"
"Blue Mountain Rd & Lougheed Hwy, Coquitlam, BC",Blue Mountain Rd,Lougheed Hwy,Coquitlam,49.2368571,-122.8731394,"Blue Mountain St & Lougheed Hwy, Coquitlam, BC V3K 4H1, Canada"
"Heather & King Edward, Vancouver, BC",Heather,King Edward,Vancouver,49.2491659,-123.1203602,"W King Edward Ave & Heather St, Vancouver, BC V5Z 2C6, Canada"
"Renfrew & Hastings, Vancouver, BC",Renfrew,Hastings,Vancouver,49.2810796,-123.0441015,"Renfrew St & E Hastings St, Vancouver, BC V5K 5C5, Canada"
"Lynn Creek Bridge & Keith Rd, North Vancouver, BC",Lynn Creek Bridge,Keith Rd,North Vancouver,49.3132995,-123.0335692,"Keith Road Bridge, North Vancouver, BC V7J, Canada"
"4 Ave & 12 St, New Westminster, BC",4 Ave,12 St,New Westminster,49.2047214,-122.92689,"12th St & 4th Ave, New Westminster, BC V3M 1T8, Canada"
"8 St & Carnarvon, New Westminster, BC",8 St,Carnarvon,New Westminster,49.202101,-122.912591,"Carnarvon St & Eighth St, New Westminster, BC V3M 0G3, Canada"
"Fraser Hwy & 203 St, Langley, BC",Fraser Hwy,203 St,Langley,49.1055604,-122.6602276,"Fraser Hwy & 203 St, Langley City, BC V3A 4E7, Canada"
"Granville & 63 Ave, Vancouver, BC",Granville,63 Ave,Vancouver,49.2140121,-123.1403504,"Granville St & W 63rd Ave, Vancouver, BC V6P 4Z2, Canada"
"Nan & Surrey Central Station, Surrey, BC",Nan,Surrey Central Station,Surrey,49.1896129,-122.8479484,"Surrey Central Station, 14479 106 Ave, Surrey, BC V3R 1S9, Canada"
"Brooksbank & Lynn & Lynn Creek Bridge, North Vancouver, BC",Brooksbank & Lynn,Lynn Creek Bridge,North Vancouver,49.345261,-123.022455,"Lynn Creek, BC V7J 3K2, Canada"
"River Rd & 46A St, Delta, BC",River Rd,46A St,Delta,49.0889545,-123.0950088,"46a St & River Rd W, Delta, BC V4K 1V2, Canada"
"224 St & Civic Centre & Dewdney Trunk Rd, Maple Ridge, BC",224 St & Civic Centre,Dewdney Trunk Rd,Maple Ridge,49.2199139,-122.5996999,"22470 Dewdney Trunk Rd #175, Maple Ridge, BC V2X 5Z6, Canada"
"64 Ave & Granville, Vancouver, BC",64 Ave,Granville,Vancouver,49.21314,-123.140375,"Granville St & W 64th Ave, Vancouver, BC V6P 4Z5, Canada"
"King Edward & Oak, Vancouver, BC",King Edward,Oak,Vancouver,49.2491615,-123.1276458,"W King Edward Ave & Oak St, Vancouver, BC V6H, Canada"
"Nanaimo & Hastings, Vancouver, BC",Nanaimo,Hastings,Vancouver,49.2811693,-123.0566843,"E Hastings St & Nanaimo St, Vancouver, BC V5L 1V5, Canada"
"Marine Station & Marine Station, Vancouver, BC",Marine Station,Marine Station,Vancouver,49.2095967,-123.1169526,"Marine Drive, Vancouver, BC V5X 0C7, Canada"
"Marine Station & Marine Station, Vancouver, BC",Marine Station,Marine Station,Vancouver,49.2095967,-123.1169526,"Marine Drive, Vancouver, BC V5X 0C7, Canada"
"Guildford Library & 105 Ave, Surrey, BC",Guildford Library,105 Ave,Surrey,49.1933685,-122.8034614,"15105 105 Ave, Surrey, BC V3R 7G8, Canada"
"Boundary & Kincaid, Burnaby, BC",Boundary,Kincaid,Burnaby,49.2488578,-123.0238569,"Kincaid St & Boundary Rd, Vancouver, BC V5R 2M4, Canada"
"Moscrop & Willingdon, Burnaby, BC",Moscrop,Willingdon,Burnaby,49.2429311,-123.0034463,"Moscrop St & Willingdon Ave, Burnaby, BC V5G, Canada"
"6 Ave & 8 St, New Westminster, BC",6 Ave,8 St,New Westminster,49.211176,-122.9240099,"6th Ave & 8th St, New Westminster, BC V3M 3S2, Canada"
"68 Ave & 128 St, Surrey, BC",68 Ave,128 St,Surrey,49.1265835,-122.867898,"68 Ave & 128 St, Surrey, BC V3W 4C8, Canada"
"Mountain Hwy & Main, North Vancouver, BC",Mountain Hwy,Main,North Vancouver,49.3052593,-123.0320512,"Mountain Hwy & Main St, North Vancouver, BC V7J 1E2, Canada"
"St. John & William, Port Moody, BC",St. John,William,Port Moody,49.2769502,-122.8634264,"2206 St Johns St, Port Moody, BC V3H 2A7, Canada"
"Rocket Way & Golden, Coquitlam, BC",Rocket Way,Golden,Coquitlam,49.2306899,-122.8245414,"Golden Dr & Rocket Way, Coquitlam, BC V3K 6T1, Canada"
"Arbutus & 4 Ave, Vancouver, BC",Arbutus,4 Ave,Vancouver,49.268156,-123.1528035,"Arbutus St & W 4th Ave, Vancouver, BC V6K 1N7, Canada"
"135 Stop & Burrard Station, Vancouver, BC",135 Stop,Burrard Station,Vancouver,49.2854669,-123.1201261,"Burrard, Vancouver, BC V6C 0A4, Canada"
"18 Ave & Cambie, Vancouver, BC",18 Ave,Cambie,Vancouver,49.2548733,-123.1151876,"Cambie St & W 18th Ave, Vancouver, BC V5Z 3B7, Canada"
"Lougheed Hwy & Sperling, Burnaby, BC",Lougheed Hwy,Sperling,Burnaby,49.2595683,-122.9645879,"Sperling Ave & Lougheed Hwy, Burnaby, BC V5A, Canada"
"Courtenay & 10 Ave, Vancouver, BC",Courtenay,10 Ave,Vancouver,49.2636967,-123.1999707,"Courtenay St & W 10th Ave, Vancouver, BC V6R 2H3, Canada"
