street1,street2,city,date,desc,bus_year,bus_manufacturer,lat,long,formatted_address
Nan,Stc Depot,Surrey,2020-02-05 00:00:00,Collisions With Other Vehicles,2018,Wf,49.2038565,-122.868867,"12701 110 Ave, Surrey, BC V3V 3K7, Canada"
Thunderbird Blvd,Nan,Ubc,2020-02-04 00:00:00,Collisions With Other Vehicles,2018,Nov,49.26060520000001,-123.2459938,"Vancouver, BC V6T 1Z4, Canada"
E 49 Ave,Oak St,Vancouver,2020-02-03 00:00:00,Collisions With Other Vehicles,2018,Nov,49.2283846,-123.1282674,"Oak St, British Columbia, Canada"
Buswell St,Anderson Rd,Richmond,2020-02-03 00:00:00,Collisions With Other Vehicles,2016,Wf,49.16348199999999,-123.133733,"Anderson Rd, Richmond, BC V6Y, Canada"
Prince Edward Ave,E Broadway St,Vancouver,2020-02-03 00:00:00,Collisions With Other Vehicles,2007,Wf,49.261889,-123.055558,"EB E Broadway at Nanaimo St, Vancouver, BC V5M 4T9, Canada"
Carnarvon St,W 41St Ave,Vancouver,2020-02-03 00:00:00,Collisions With Objects,2018,Nov,49.2331288,-123.1056583,"W 41st Ave & E 41st Ave, Vancouver, BC V5W 2L5, Canada"
Track 8,Rtc Track 7,Richmond,2020-02-03 00:00:00,Collisions With Other Vehicles,2009,Nov,49.1830367,-123.1277729,"8877 Odlin Crescent #150, Richmond, BC V6X 3Z7, Canada"
Thurlow St,W Georgia St,Vancouver,2020-02-02 00:00:00,Collisions With Other Vehicles,2009,Wf,49.2857341,-123.1231553,"W Georgia St, Vancouver, BC, Canada"
Fifth Ave,Sixth St,New Westminster,2020-02-01 00:00:00,Collisions With Objects,2009,Nov,49.2163942,-122.9244118,"6th St, British Columbia, Canada"
Main St,E Hastings St,Vancouver,2020-02-01 00:00:00,Collisions With Other Vehicles,2006,Wf,49.2810796,-123.0441015,"E Hastings St, British Columbia, Canada"
Nan,Nan,Nan,2020-01-31 00:00:00,Collisions With Objects,2016,Gm,49.3280242,-123.1556756,"1454 Marine Dr, West Vancouver, BC V7T 1B7, Canada"
Kensington Ave,Hastings St,Burnaby,2020-01-31 00:00:00,Collisions With Objects,2019,Wf,49.281047,-123.008645,"Hastings St, Burnaby, BC, Canada"
Devonshire Cres,Granville St,Vancouver,2020-01-31 00:00:00,Collisions With Objects,2008,Wf,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
