experience,cost_centre,in_probation,preventables_year,incidents_year,number_incidents,number_preventables,number_non_recordables,number_non_preventables,total_hours_last3yr,last_preventable_date,incidents_1957
>6 & 18 Months,VTC,N,0,4.33,4,NA,NA,3,1806.6,NA,7828
>6 & 18 Months,VTC,N,1.12,2.24,2,1,NA,1,1748.18,2019-08-08T00:00:00Z,3914
>6 & 18 Months,VTC,N,3.09,4.12,4,3,NA,1,1899.93,2019-09-12T00:00:00Z,7828
>6 & 18 Months,VTC,N,1.51,6.04,4,1,1,2,1295.3,2019-04-29T00:00:00Z,7828
>6 & 18 Months,VTC,N,4.01,13.04,13,4,NA,7,1950.28,2020-01-11T00:00:00Z,25441
>6 & 18 Months,VTC,N,0,1.2,1,NA,NA,1,1632.3,NA,1957
>6 & 18 Months,VTC,N,0,9.27,9,NA,1,6,1899.1,NA,17613
>6 & 18 Months,VTC,N,1.02,4.09,4,1,NA,1,1913.71,2019-11-26T00:00:00Z,7828
>6 & 18 Months,VTC,N,0,3.28,3,NA,NA,3,1790.11,NA,5871
>6 & 18 Months,VTC,N,0,12.9,9,NA,NA,8,1365.05,NA,17613
>6 & 18 Months,VTC,N,1.14,3.43,3,1,NA,2,1712.5,2020-01-20T00:00:00Z,5871
>6 & 18 Months,VTC,N,0,7.09,6,NA,NA,3,1656.65,NA,11742
>6 & 18 Months,VTC,N,3.36,10.08,6,2,NA,3,1165.24,2019-06-29T00:00:00Z,11742
>6 & 18 Months,VTC,N,0,7.72,7,NA,NA,5,1773.34,NA,13699
>6 & 18 Months,VTC,N,0,1.16,1,NA,NA,NA,1689.78,NA,1957
>6 & 18 Months,VTC,N,1.24,6.18,5,1,NA,3,1582.78,2019-09-08T00:00:00Z,9785
>6 & 18 Months,VTC,N,1.11,2.23,2,1,NA,NA,1758.56,2020-02-16T00:00:00Z,3914
>6 & 18 Months,VTC,N,1.14,5.68,5,1,1,1,1723.62,2019-06-19T00:00:00Z,9785
>6 & 18 Months,VTC,N,0,5,4,NA,NA,4,1566.59,NA,7828
>6 & 18 Months,VTC,N,1.22,7.35,6,1,NA,5,1598.5,2019-11-15T00:00:00Z,11742
>6 & 18 Months,VTC,N,2.59,3.88,3,2,NA,NA,1513.19,2019-07-29T00:00:00Z,5871
>6 & 18 Months,VTC,N,6.39,11.51,9,5,NA,3,1530.55,2020-01-21T00:00:00Z,17613
>6 & 18 Months,VTC,N,1.26,1.26,1,1,NA,NA,1556.16,2019-10-27T00:00:00Z,1957
>6 & 18 Months,VTC,N,0,3.76,3,NA,NA,2,1561.86,NA,5871
>6 & 18 Months,VTC,N,1.41,4.22,3,1,NA,2,1390.6,2019-07-08T00:00:00Z,5871
>6 & 18 Months,VTC,N,2.42,9.67,8,2,NA,6,1619.47,2019-11-12T00:00:00Z,15656
>6 & 18 Months,VTC,N,0,8.48,6,NA,NA,4,1384.99,NA,11742
>6 & 18 Months,VTC,N,1.58,1.58,1,1,NA,NA,1238.05,2020-02-11T00:00:00Z,1957
>6 & 18 Months,VTC,N,1.24,4.94,4,1,NA,3,1583.78,2019-12-11T00:00:00Z,7828
>6 & 18 Months,VTC,N,0,13.2,10,NA,NA,7,1482.53,NA,19570
>6 & 18 Months,VTC,N,1.44,2.89,2,1,NA,NA,1356.58,2019-09-11T00:00:00Z,3914
>6 & 18 Months,VTC,N,0,1.33,1,NA,NA,1,1476.54,NA,1957
>6 & 18 Months,VTC,N,1.44,4.31,3,1,1,NA,1360.87,2019-12-07T00:00:00Z,5871
>6 & 18 Months,VTC,N,0,4.03,3,NA,NA,2,1456.6,NA,5871
>6 & 18 Months,VTC,N,0,4.6,3,NA,NA,2,1275.32,NA,5871
>6 & 18 Months,VTC,N,1.41,7.03,5,1,NA,4,1391.24,2019-08-09T00:00:00Z,9785
>6 & 18 Months,VTC,N,2.85,4.28,3,2,NA,1,1371.1,2019-09-01T00:00:00Z,5871
>6 & 18 Months,VTC,N,0,1.46,1,NA,NA,NA,1344.35,NA,1957
>6 & 18 Months,VTC,N,0,5.94,4,NA,1,2,1318.52,NA,7828
>6 & 18 Months,VTC,N,4.01,10.7,8,3,1,2,1462.98,2019-11-14T00:00:00Z,15656
>6 & 18 Months,VTC,N,1.54,4.61,3,1,NA,1,1272.58,2019-10-15T00:00:00Z,5871
>6 & 18 Months,VTC,N,0,5.51,4,NA,NA,3,1420.24,NA,7828
>6 & 18 Months,VTC,N,0,1.5,1,NA,NA,NA,1305.69,NA,1957
>6 & 18 Months,VTC,N,0,1.52,1,NA,NA,1,1291.11,NA,1957
>6 & 18 Months,VTC,N,1.53,7.66,5,1,NA,2,1276.61,2019-11-04T00:00:00Z,9785
>6 & 18 Months,VTC,N,1.46,5.84,4,1,NA,3,1339.77,2019-08-15T00:00:00Z,7828
>6 & 18 Months,VTC,N,0,1.49,1,NA,NA,NA,1315.34,NA,1957
>6 & 18 Months,VTC,N,1.65,8.23,5,1,NA,3,1188.31,2019-09-29T00:00:00Z,9785
>6 & 18 Months,VTC,N,1.43,15.76,11,1,NA,6,1365.59,2019-12-01T00:00:00Z,21527
>6 & 18 Months,VTC,N,0,3.14,2,NA,NA,1,1245.72,NA,3914
>6 & 18 Months,VTC,N,1.61,9.68,6,1,NA,3,1212.62,2020-01-14T00:00:00Z,11742
>6 & 18 Months,VTC,N,0,1.61,1,NA,NA,1,1212.83,NA,1957
>6 & 18 Months,VTC,N,2.95,5.91,4,2,NA,1,1324.66,2019-12-13T00:00:00Z,7828
>6 & 18 Months,VTC,N,4.69,17.21,11,3,1,5,1251.12,2019-11-28T00:00:00Z,21527
>6 & 18 Months,VTC,N,2.04,4.08,2,1,NA,NA,959.42,2019-10-20T00:00:00Z,3914
>6 & 18 Months,VTC,N,1.79,5.37,3,1,NA,1,1093.17,2020-02-14T00:00:00Z,5871
>6 & 18 Months,VTC,N,0,3.28,2,NA,NA,2,1193.6,NA,3914
>6 & 18 Months,VTC,N,0,3.22,2,NA,NA,2,1214.18,NA,3914
>6 & 18 Months,VTC,N,1.68,5.05,3,1,NA,2,1161.64,2019-10-05T00:00:00Z,5871
>6 & 18 Months,VTC,N,0,1.73,1,NA,NA,1,1134.47,NA,1957
>6 & 18 Months,VTC,N,3.16,9.48,6,2,NA,2,1238.71,2019-09-25T00:00:00Z,11742
>6 & 18 Months,VTC,N,1.87,3.73,2,1,NA,1,1048.04,2019-10-16T00:00:00Z,3914
>6 & 18 Months,VTC,N,0,1.74,1,NA,NA,NA,1123.33,NA,1957
>6 & 18 Months,VTC,N,1.85,3.7,2,1,NA,1,1059.24,2019-11-08T00:00:00Z,3914
>6 & 18 Months,VTC,Y,2.1,2.1,1,1,NA,NA,933.98,2020-02-11T00:00:00Z,1957
>6 & 18 Months,VTC,N,0,4.93,3,NA,NA,2,1190.27,NA,5871
>6 & 18 Months,VTC,N,1.92,3.85,2,1,NA,NA,1017.47,2019-10-28T00:00:00Z,3914
>6 & 18 Months,VTC,N,0,8.01,4,NA,1,2,977.88,NA,7828
>6 & 18 Months,VTC,N,3.4,6.81,4,2,NA,1,1150.22,2020-01-30T00:00:00Z,7828
>6 & 18 Months,VTC,N,0,2.12,1,NA,NA,1,922.66,NA,1957
>6 & 18 Months,VTC,Y,5.66,16.99,6,2,NA,3,690.96,2019-12-02T00:00:00Z,11742
>6 & 18 Months,VTC,N,2.01,4.02,2,1,NA,NA,974.16,2019-10-08T00:00:00Z,3914
>6 & 18 Months,VTC,Y,2.45,2.45,1,1,NA,NA,799.91,2019-10-25T00:00:00Z,1957
>6 & 18 Months,VTC,N,0,5.78,3,NA,NA,3,1014.87,NA,5871
>6 & 18 Months,VTC,Y,0,5.16,2,NA,NA,NA,757.95,NA,3914
>6 & 18 Months,VTC,N,2.11,4.22,2,1,NA,NA,928.34,2020-01-24T00:00:00Z,3914
>6 & 18 Months,VTC,Y,0,7.08,3,NA,NA,3,829.67,NA,5871
>6 & 18 Months,VTC,Y,2.35,7.04,3,1,NA,1,834.27,2019-12-09T00:00:00Z,5871
>6 & 18 Months,VTC,Y,5.82,5.82,2,2,NA,NA,672.87,2020-02-13T00:00:00Z,3914
>6 & 18 Months,VTC,Y,2.43,14.58,6,1,NA,5,805.32,2019-12-15T00:00:00Z,11742
>6 & 18 Months,VTC,Y,2.37,16.57,7,1,NA,5,826.6,2019-12-02T00:00:00Z,13699
>6 & 18 Months,VTC,Y,5,9.99,4,2,NA,2,783.31,2020-01-20T00:00:00Z,7828
>6 & 18 Months,VTC,Y,0,5.5,2,NA,NA,2,711.44,NA,3914
>6 & 18 Months,VTC,Y,2.4,9.59,4,1,1,1,815.98,2019-12-28T00:00:00Z,7828
>6 & 18 Months,VTC,Y,0,8.37,3,NA,NA,1,701.74,NA,5871
>6 & 18 Months,VTC,Y,0,6.3,2,NA,NA,1,620.92,NA,3914
>6 & 18 Months,VTC,Y,2.8,8.39,3,1,1,NA,699.93,2019-12-05T00:00:00Z,5871
>6 & 18 Months,VTC,Y,0,2.8,1,NA,NA,1,699.83,NA,1957
>6 & 18 Months,VTC,Y,2.65,10.61,4,1,NA,3,738,2019-12-17T00:00:00Z,7828
>6 & 18 Months,VTC,Y,2.83,5.66,2,1,NA,1,691.78,2019-12-23T00:00:00Z,3914
>6 & 18 Months,VTC,Y,0,3.14,1,NA,NA,1,624.12,NA,1957
>6 & 18 Months,VTC,Y,0,6.27,2,NA,1,1,624.58,NA,3914
>6 & 18 Months,VTC,Y,0,6.19,2,NA,NA,2,632.25,NA,3914
<6 Months,VTC,Y,3.04,6.08,2,1,NA,1,643.66,2019-12-27T00:00:00Z,3914
<6 Months,VTC,Y,2.98,5.96,2,1,NA,1,656.23,2019-12-17T00:00:00Z,3914
<6 Months,VTC,Y,3.34,6.68,2,1,NA,1,585.97,2020-01-08T00:00:00Z,3914
<6 Months,VTC,Y,0,6.65,2,NA,NA,1,588.66,NA,3914
<6 Months,VTC,Y,0,8.28,2,NA,NA,2,472.99,NA,3914
<6 Months,VTC,Y,0,3.33,1,NA,NA,NA,586.84,NA,1957
<6 Months,VTC,Y,0,3.3,1,NA,NA,1,592.19,NA,1957
<6 Months,VTC,Y,0,3.39,1,NA,NA,1,576.58,NA,1957
<6 Months,VTC,Y,3.23,6.46,2,1,NA,NA,606.04,2020-01-27T00:00:00Z,3914
<6 Months,VTC,Y,0,7.62,1,NA,NA,1,256.9,NA,1957
<6 Months,VTC,Y,0,7.59,1,NA,NA,NA,257.98,NA,1957
>60 Months,STC-Shuttle,N,0.36,0.72,2,1,NA,1,5435.28,2018-01-10T00:00:00Z,3914
>60 Months,STC-Shuttle,N,0,0.38,1,NA,NA,1,5189.9,NA,1957
>60 Months,STC-Shuttle,N,0,1.13,2,NA,NA,1,3477.26,NA,3914
>60 Months,STC-Shuttle,N,0,1.78,4,NA,NA,3,4401.84,NA,7828
>60 Months,STC-Shuttle,N,0,0.77,1,NA,NA,1,2535.25,NA,1957
>60 Months,STC-Shuttle,N,0,0.4,1,NA,NA,NA,4870.94,NA,1957
>60 Months,STC-Shuttle,N,0,0.94,2,NA,NA,2,4182.45,NA,3914
>60 Months,STC-Shuttle,N,0,1.58,4,NA,NA,3,4941.42,NA,7828
>60 Months,STC-Shuttle,N,0,0.46,1,NA,NA,1,4254.98,NA,1957
>60 Months,STC-Shuttle,N,0,1.09,3,NA,NA,1,5400.97,NA,5871
>60 Months,STC-Shuttle,N,0.38,0.76,2,1,NA,1,5147.18,2017-09-29T00:00:00Z,3914
>60 Months,STC-Shuttle,N,0.5,1,2,1,NA,1,3918.86,2017-11-30T00:00:00Z,3914
>60 Months,STC-Shuttle,N,0,0.8,2,NA,NA,1,4915.99,NA,3914
>60 Months,STC-Shuttle,N,0,2.07,4,NA,NA,2,3788.55,NA,7828
>60 Months,STC-Shuttle,N,0,2.57,6,NA,NA,4,4572.41,NA,11742
>60 Months,STC-Shuttle,N,0.38,1.5,4,1,1,2,5218.07,2018-07-19T00:00:00Z,7828
>60 Months,STC-Shuttle,N,0,1.39,3,NA,NA,2,4215.28,NA,5871
>60 Months,STC-Shuttle,N,0,2.3,3,NA,NA,2,2557.9,NA,5871
>60 Months,STC-Shuttle,N,0,0.35,1,NA,NA,1,5547.85,NA,1957
>60 Months,STC-Shuttle,N,0.4,0.4,1,1,NA,NA,4870.39,2017-05-23T00:00:00Z,1957
>60 Months,STC-Shuttle,N,0,1.32,3,NA,NA,3,4446.07,NA,5871
>60 Months,STC-Shuttle,N,0,1.51,4,NA,NA,3,5188.73,NA,7828
>60 Months,STC-Shuttle,N,0,0.63,1,NA,NA,NA,3085.44,NA,1957
>60 Months,STC-Shuttle,N,0.35,1.39,4,1,NA,2,5618.81,2017-12-23T00:00:00Z,7828
>60 Months,STC-Shuttle,N,0,1.25,2,NA,NA,1,3129.92,NA,3914
>60 Months,STC-Shuttle,N,1.42,1.42,2,2,NA,NA,2755.37,2019-06-25T00:00:00Z,3914
>60 Months,STC-Shuttle,N,0.35,0.69,2,1,NA,1,5632.78,2019-08-25T00:00:00Z,3914
>60 Months,STC-Shuttle,N,0,1.53,4,NA,NA,3,5130.15,NA,7828
>18 & <60 Months,STC-Shuttle,N,0,1.88,3,NA,1,2,3129.28,NA,5871
>18 & <60 Months,STC-Shuttle,N,0.39,0.77,2,1,NA,1,5068.07,2017-02-09T00:00:00Z,3914
>18 & <60 Months,STC-Shuttle,N,0.54,0.54,1,1,NA,NA,3621.94,2018-10-25T00:00:00Z,1957
>18 & <60 Months,STC-Shuttle,N,0.62,0.62,1,1,NA,NA,3147.05,2018-03-01T00:00:00Z,1957
>18 & <60 Months,STC-Shuttle,N,0,1.53,3,NA,NA,NA,3839.38,NA,5871
>18 & <60 Months,STC-Shuttle,N,0,0.49,1,NA,NA,1,4021.14,NA,1957
>18 & <60 Months,STC-Shuttle,N,0,0.41,1,NA,NA,1,4723.45,NA,1957
>18 & <60 Months,STC-Shuttle,N,0.47,1.4,3,1,NA,2,4199.38,2018-12-03T00:00:00Z,5871
>18 & <60 Months,STC-Shuttle,N,0,1.65,2,NA,NA,2,2378.16,NA,3914
>18 & <60 Months,STC-Shuttle,N,0.71,1.41,2,1,NA,NA,2768.78,2019-03-15T00:00:00Z,3914
>18 & <60 Months,STC-Shuttle,N,0,1.14,2,NA,NA,2,3433.24,NA,3914
>18 & <60 Months,STC-Shuttle,N,0,1.39,2,NA,NA,NA,2819.63,NA,3914
>18 & <60 Months,STC-Shuttle,N,0,0.74,1,NA,NA,NA,2642.8,NA,1957
>6 & 18 Months,STC-Shuttle,N,0,1.4,1,NA,NA,NA,1396.09,NA,1957
>6 & 18 Months,STC-Shuttle,N,0,1.12,1,NA,NA,NA,1751.22,NA,1957
>60 Months,STC,N,0.46,1.85,4,1,NA,3,4223.38,2017-02-15T00:00:00Z,7828
>60 Months,STC,N,1.15,3.45,9,3,NA,5,5100.17,2018-12-12T00:00:00Z,17613
>60 Months,STC,N,0.36,3.25,9,1,NA,5,5423.21,2017-06-04T00:00:00Z,17613
>60 Months,STC,N,0.99,2.65,8,3,NA,3,5914.15,2019-05-14T00:00:00Z,15656
>60 Months,STC,N,0.99,1.49,3,2,1,NA,3943.02,2019-09-25T00:00:00Z,5871
>60 Months,STC,N,0,0.37,1,NA,NA,1,5348.97,NA,1957
>60 Months,STC,N,0.24,1.45,6,1,NA,3,8114.01,2019-01-27T00:00:00Z,11742
>60 Months,STC,N,0,0.32,1,NA,NA,1,6192.07,NA,1957
>60 Months,STC,N,0,0.37,1,NA,NA,1,5225.2,NA,1957
>60 Months,STC,N,0.29,2.32,8,1,NA,5,6742.83,2019-06-23T00:00:00Z,15656
>60 Months,STC,N,0,1.48,4,NA,NA,NA,5302.6,NA,7828
>60 Months,STC,N,0,2.03,4,NA,NA,3,3859.59,NA,7828
>60 Months,STC,N,0.33,2.3,7,1,NA,6,5952.5,2019-07-17T00:00:00Z,13699
>60 Months,STC,N,0,1.29,3,NA,NA,1,4557.36,NA,5871
>60 Months,STC,N,0,0.91,3,NA,NA,2,6418.49,NA,5871
>60 Months,STC,N,0.37,3.66,10,1,1,4,5347.61,2017-10-09T00:00:00Z,19570
>60 Months,STC,N,0,2.31,8,NA,1,5,6790.07,NA,15656
>60 Months,STC,N,0,1.14,3,NA,NA,2,5162.9,NA,5871
>60 Months,STC,N,0,1.17,4,NA,NA,3,6717.08,NA,7828
>60 Months,STC,N,0,1.46,5,NA,1,1,6719.78,NA,9785
>60 Months,STC,N,0,0.44,1,NA,NA,1,4406.44,NA,1957
>60 Months,STC,N,0.74,1.49,4,2,NA,2,5269.13,2019-12-06T00:00:00Z,7828
>60 Months,STC,N,0,1.89,5,NA,NA,4,5170.57,NA,9785
>60 Months,STC,N,0,0.68,2,NA,1,1,5729.1,NA,3914
>60 Months,STC,N,0,0.65,2,NA,NA,NA,5985.73,NA,3914
>60 Months,STC,N,0,0.34,1,NA,NA,1,5680.77,NA,1957
>60 Months,STC,N,0,0.34,1,NA,NA,1,5709.68,NA,1957
>60 Months,STC,N,0.38,1.91,5,1,NA,2,5112.37,2019-12-10T00:00:00Z,9785
>60 Months,STC,N,0,1.86,5,NA,NA,4,5254.56,NA,9785
>60 Months,STC,N,0,2.93,8,NA,NA,4,5344.7,NA,15656
>60 Months,STC,N,0,0.3,1,NA,NA,1,6491.93,NA,1957
>60 Months,STC,N,0.37,1.49,4,1,NA,3,5248.88,2018-01-16T00:00:00Z,7828
>60 Months,STC,N,0,0.62,2,NA,NA,1,6345.33,NA,3914
>60 Months,STC,N,0,0.37,1,NA,NA,1,5240.28,NA,1957
>60 Months,STC,N,0,0.75,2,NA,1,1,5232.43,NA,3914
>60 Months,STC,N,0.37,1.11,3,1,NA,2,5308.38,2017-02-15T00:00:00Z,5871
>60 Months,STC,N,0.36,0.73,2,1,NA,1,5392.24,2018-04-02T00:00:00Z,3914
>60 Months,STC,N,0,0.81,1,NA,NA,1,2407.28,NA,1957
>60 Months,STC,N,0,0.27,1,NA,NA,1,7128.83,NA,1957
>60 Months,STC,N,0,2.27,3,NA,NA,1,2586.38,NA,5871
>60 Months,STC,N,0.71,1.42,4,2,NA,1,5509.77,2018-09-11T00:00:00Z,7828
>60 Months,STC,N,0.49,3.41,7,1,NA,4,4015.01,2017-08-12T00:00:00Z,13699
>60 Months,STC,N,0.34,1.01,3,1,NA,1,5784.75,2020-01-20T00:00:00Z,5871
>60 Months,STC,N,0.6,2.42,8,2,NA,6,6471.51,2018-05-16T00:00:00Z,15656
>60 Months,STC,N,0.34,1.35,4,1,NA,1,5783.46,2018-12-25T00:00:00Z,7828
>60 Months,STC,N,0,0.73,2,NA,NA,1,5352.27,NA,3914
>60 Months,STC,N,0,1.63,5,NA,NA,3,6020.55,NA,9785
>60 Months,STC,N,0,1.41,4,NA,NA,3,5534.87,NA,7828
>60 Months,STC,N,0.38,1.51,4,1,NA,1,5189.96,2017-12-20T00:00:00Z,7828
>60 Months,STC,N,0.25,1.5,6,1,NA,5,7845.33,2018-08-10T00:00:00Z,11742
>60 Months,STC,N,0,0.37,1,NA,NA,1,5340.82,NA,1957
>60 Months,STC,N,0,0.71,2,NA,NA,2,5529.65,NA,3914
>60 Months,STC,N,0,1.43,4,NA,NA,3,5477.68,NA,7828
>60 Months,STC,N,0,0.77,2,NA,NA,2,5078.11,NA,3914
>60 Months,STC,N,0,0.82,2,NA,NA,1,4751.88,NA,3914
>60 Months,STC,N,0,1.21,3,NA,NA,2,4846.31,NA,5871
>60 Months,STC,N,0.38,4.22,11,1,1,9,5107.15,2018-12-26T00:00:00Z,21527
>60 Months,STC,N,0,0.61,2,NA,NA,1,6387.14,NA,3914
>60 Months,STC,N,0,0.79,3,NA,NA,1,7419.74,NA,5871
>60 Months,STC,N,0,1.29,3,NA,NA,3,4534.69,NA,5871
>60 Months,STC,N,0.78,2.74,7,2,1,2,5006.84,2019-11-30T00:00:00Z,13699
>60 Months,STC,N,0,1.13,3,NA,NA,2,5185.84,NA,5871
>60 Months,STC,N,0,1.12,3,NA,NA,3,5240.15,NA,5871
>60 Months,STC,N,0,0.37,1,NA,NA,1,5285.88,NA,1957
>60 Months,STC,N,0,0.36,1,NA,NA,1,5442.68,NA,1957
>60 Months,STC,N,0,0.85,2,NA,NA,1,4631.42,NA,3914
>60 Months,STC,N,0.34,1.37,4,1,NA,2,5697.9,2017-10-21T00:00:00Z,7828
>60 Months,STC,N,0.41,1.24,3,1,NA,2,4741.36,2018-03-13T00:00:00Z,5871
>60 Months,STC,N,0,0.48,1,NA,NA,1,4070.95,NA,1957
>60 Months,STC,N,0.61,1.22,4,2,NA,2,6426.71,2019-04-30T00:00:00Z,7828
>60 Months,STC,N,0,0.74,2,NA,NA,1,5308.79,NA,3914
>60 Months,STC,N,0,0.41,1,NA,NA,NA,4759.35,NA,1957
>60 Months,STC,N,0,0.59,2,NA,NA,2,6636.88,NA,3914
>60 Months,STC,N,1.01,1.01,2,2,NA,NA,3886.21,2017-09-24T00:00:00Z,3914
>60 Months,STC,N,0,1.11,2,NA,NA,NA,3538.63,NA,3914
>60 Months,STC,N,1.11,1.85,5,3,NA,NA,5293.32,2019-11-25T00:00:00Z,9785
>60 Months,STC,N,0.37,0.74,2,1,NA,1,5257.05,2018-10-17T00:00:00Z,3914
>60 Months,STC,N,0,0.8,2,NA,NA,1,4898.76,NA,3914
>60 Months,STC,N,0,1.84,1,NA,NA,1,1062.91,NA,1957
>60 Months,STC,N,0.69,4.14,12,2,NA,9,5667.34,2019-04-24T00:00:00Z,23484
>60 Months,STC,N,0,0.93,2,NA,NA,1,4203.86,NA,3914
>60 Months,STC,N,0.36,0.36,1,1,NA,NA,5431.28,2017-05-21T00:00:00Z,1957
>60 Months,STC,N,0.46,0.91,2,1,NA,1,4300.74,2019-04-04T00:00:00Z,3914
>60 Months,STC,N,0.37,0.37,1,1,NA,NA,5276.86,2019-09-18T00:00:00Z,1957
>60 Months,STC,N,0,0.33,1,NA,NA,1,5907.36,NA,1957
>60 Months,STC,N,0,0.89,2,NA,NA,2,4417.02,NA,3914
>60 Months,STC,N,0.38,1.14,3,1,NA,1,5157.91,2019-09-05T00:00:00Z,5871
>60 Months,STC,N,0,1.19,4,NA,1,3,6593.46,NA,7828
>60 Months,STC,N,0.4,1.21,3,1,NA,2,4858.43,2017-02-04T00:00:00Z,5871
>60 Months,STC,N,0,0.87,2,NA,NA,2,4478.47,NA,3914
>60 Months,STC,N,0,0.99,3,NA,NA,1,5951.77,NA,5871
>60 Months,STC,N,0,1.31,4,NA,NA,3,5990.91,NA,7828
>60 Months,STC,N,0,0.73,2,NA,NA,2,5368.4,NA,3914
>60 Months,STC,N,0.35,0.35,1,1,NA,NA,5665.74,2019-04-15T00:00:00Z,1957
>60 Months,STC,N,0.84,0.84,1,1,NA,NA,2335.56,2019-03-31T00:00:00Z,1957
>60 Months,STC,N,0.38,0.76,2,1,NA,1,5176.41,2019-03-07T00:00:00Z,3914
>60 Months,STC,N,0.34,1.02,3,1,NA,2,5728.92,2018-02-06T00:00:00Z,5871
>60 Months,STC,N,0,1.44,4,NA,NA,NA,5436.55,NA,7828
>60 Months,STC,N,0,1.01,3,NA,NA,2,5818.55,NA,5871
>60 Months,STC,N,0.41,0.41,1,1,NA,NA,4721.27,2019-04-04T00:00:00Z,1957
>60 Months,STC,N,0.38,1.88,5,1,NA,1,5203.56,2017-05-05T00:00:00Z,9785
>60 Months,STC,N,0,1.29,3,NA,1,2,4549.43,NA,5871
>60 Months,STC,N,0,0.38,1,NA,NA,1,5107.6,NA,1957
>60 Months,STC,N,0.36,2.88,8,1,NA,5,5431.1,2017-12-17T00:00:00Z,15656
>60 Months,STC,N,0,2.37,6,NA,NA,4,4954.84,NA,11742
>60 Months,STC,N,0,2.99,7,NA,NA,5,4588.18,NA,13699
>60 Months,STC,N,0.35,0.71,2,1,NA,NA,5528.18,2019-05-09T00:00:00Z,3914
>60 Months,STC,N,0.44,1.77,4,1,NA,1,4413.01,2018-05-11T00:00:00Z,7828
>60 Months,STC,N,0,1.91,6,NA,NA,6,6148.65,NA,11742
>60 Months,STC,N,0.37,1.48,4,1,NA,3,5278.52,2017-04-09T00:00:00Z,7828
>60 Months,STC,N,0.71,1.77,5,2,NA,2,5516.5,2019-09-03T00:00:00Z,9785
>60 Months,STC,N,0,2.63,7,NA,NA,2,5211.91,NA,13699
>60 Months,STC,N,0,0.71,2,NA,NA,1,5486.79,NA,3914
>60 Months,STC,N,0.29,0.88,3,1,NA,2,6661.99,2018-11-22T00:00:00Z,5871
>60 Months,STC,N,0.42,1.67,4,1,NA,1,4696.68,2018-08-30T00:00:00Z,7828
>60 Months,STC,N,0,0.48,1,NA,NA,NA,4052.54,NA,1957
>60 Months,STC,N,0,0.91,2,NA,NA,2,4323.63,NA,3914
>60 Months,STC,N,0.31,1.54,5,1,1,3,6354.93,2018-08-11T00:00:00Z,9785
>60 Months,STC,N,0,0.69,2,NA,NA,1,5676.35,NA,3914
>60 Months,STC,N,0,4.12,11,NA,NA,5,5225.6,NA,21527
>60 Months,STC,N,0,0.98,3,NA,NA,3,5965.69,NA,5871
>60 Months,STC,N,0,0.95,3,NA,NA,2,6192.55,NA,5871
>60 Months,STC,N,0.56,1.95,7,2,1,3,7016.68,2018-07-10T00:00:00Z,13699
>60 Months,STC,N,0,1.73,5,NA,NA,2,5650.67,NA,9785
>60 Months,STC,N,0.83,1.25,3,2,NA,NA,4703.07,2018-03-24T00:00:00Z,5871
>60 Months,STC,N,0,1.09,3,NA,NA,3,5371.47,NA,5871
>60 Months,STC,N,1.04,1.74,5,3,1,1,5618.64,2019-02-12T00:00:00Z,9785
>60 Months,STC,N,0,0.35,1,NA,NA,1,5563.55,NA,1957
>60 Months,STC,N,0,1.82,5,NA,NA,4,5373.25,NA,9785
>60 Months,STC,N,0,0.43,1,NA,NA,1,4557.24,NA,1957
>60 Months,STC,N,0,4.82,12,NA,1,7,4867.31,NA,23484
>60 Months,STC,N,0,1.06,3,NA,NA,3,5545.81,NA,5871
>60 Months,STC,N,0,1.04,3,NA,NA,2,5652.08,NA,5871
>60 Months,STC,N,0,1.26,1,NA,NA,NA,1547.83,NA,1957
>60 Months,STC,N,2.24,2.8,5,4,NA,1,3489,2019-01-28T00:00:00Z,9785
>60 Months,STC,N,0.65,1.29,4,2,NA,NA,6051.38,2019-06-05T00:00:00Z,7828
>60 Months,STC,N,0,0.67,2,NA,NA,2,5810.62,NA,3914
>60 Months,STC,N,0.39,1.56,4,1,NA,2,5021.16,2020-01-07T00:00:00Z,7828
>60 Months,STC,N,0,2.58,7,NA,1,4,5307.48,NA,13699
>60 Months,STC,N,0,0.77,2,NA,NA,2,5113.62,NA,3914
>60 Months,STC,N,0.37,1.12,3,1,NA,1,5248.91,2017-02-03T00:00:00Z,5871
>60 Months,STC,N,0,0.32,1,NA,NA,1,6149.47,NA,1957
>60 Months,STC,N,0,0.6,1,NA,NA,1,3236.13,NA,1957
>60 Months,STC,N,2.43,3.89,8,5,NA,2,4021.97,2018-11-07T00:00:00Z,15656
>60 Months,STC,N,0,0.68,2,NA,NA,1,5759.12,NA,3914
>60 Months,STC,N,0.53,2.13,8,2,NA,4,7342.77,2018-07-12T00:00:00Z,15656
>60 Months,STC,N,0,1.85,5,NA,NA,4,5280.58,NA,9785
>60 Months,STC,N,2.67,3.43,9,7,NA,1,5136.2,2019-09-07T00:00:00Z,17613
>60 Months,STC,N,0,1.35,4,NA,NA,1,5779.21,NA,7828
>60 Months,STC,N,0.36,1.44,4,1,NA,1,5421.4,2019-10-09T00:00:00Z,7828
>60 Months,STC,N,0,1.66,4,NA,NA,4,4724.35,NA,7828
>60 Months,STC,N,1.12,1.12,3,3,NA,NA,5261.32,2020-01-06T00:00:00Z,5871
>60 Months,STC,N,0.83,2.48,6,2,NA,3,4730.15,2018-09-24T00:00:00Z,11742
